metric,row_type,student_group,value,table_id,period,row_type2,row_label_raw,value_num
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2023-24,All SWD,94%,2,SY 2023-24,percent,SY 2023-24,94
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2024-25,Econ Dis ML (1-6d) Asian Black SWD SWD SWD SWD,Target,2,SY 2024-25,percent,SY 2024-25,NA
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2024-25,SWD,95%,2,SY 2024-25,percent,SY 2024-25,95
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2024-25,All SWD,94%,2,SY 2024-25,percent,SY 2024-25,94
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2024-25,Econ Dis ML (1-6d) Asian Black SWD SWD SWD SWD,Actual,2,SY 2024-25,percent,SY 2024-25,NA
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2024-25,SWD,96%,2,SY 2024-25,percent,SY 2024-25,96
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2024-25,All SWD,95%,2,SY 2024-25,percent,SY 2024-25,95
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2025-26,Econ Dis ML (1-6d) Asian Black SWD SWD SWD SWD,Target,2,SY 2025-26,percent,SY 2025-26,NA
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2025-26,SWD,95%,2,SY 2025-26,percent,SY 2025-26,95
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2025-26,All SWD,94%,2,SY 2025-26,percent,SY 2025-26,94
Growth Targets - Percent of Students Meeting IEP Goals in Reading,Target,Econ Dis ML (1-6d) Asian Black SWD SWD SWD SWD,Annual,2,SY 2025-26,other,Target,NA
Growth Targets - Percent of Students Meeting IEP Goals in Reading,Target,SWD,NA,2,SY 2025-26,other,Target,NA
Growth Targets - Percent of Students Meeting IEP Goals in Reading,Target,All SWD,NA,2,SY 2025-26,other,Target,NA
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,"All Students Econ Dis ML (1-4,9) SWD Numerator 63,837 14,583 4,204 5,993","82,719",7,NA,denominator,Denominator,82719
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"3,960",7,NA,denominator,Denominator,3960
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"16,443",7,NA,denominator,Denominator,16443
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,70%,"8,188",7,NA,denominator,Denominator,8188
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,53%,"22,056",7,NA,denominator,Denominator,22056
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"5,217",7,NA,denominator,Denominator,5217
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"30,495",7,NA,denominator,Denominator,30495
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,"All Students Econ Dis ML (1-4,9) SWD Numerator 63,837 14,583 4,204 5,993",78%,7,SY 2023-24,percent,SY 2023-24,78
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,88%,90%,7,SY 2023-24,percent,SY 2023-24,90
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,88%,88%,7,SY 2023-24,percent,SY 2023-24,88
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,70%,72%,7,SY 2023-24,percent,SY 2023-24,72
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,53%,55%,7,SY 2023-24,percent,SY 2023-24,55
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,88%,89%,7,SY 2023-24,percent,SY 2023-24,89
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,88%,89%,7,SY 2023-24,percent,SY 2023-24,89
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,"All Students Econ Dis ML (1-4,9) SWD Numerator 63,837 14,583 4,204 5,993","70,721",7,SY 2023-24,numerator,Numerator,70721
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,88%,"4,933",7,SY 2023-24,numerator,Numerator,4933
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,88%,"15,262",7,SY 2023-24,numerator,Numerator,15262
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,70%,"6,451",7,SY 2023-24,numerator,Numerator,6451
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,53%,"13,542",7,SY 2023-24,numerator,Numerator,13542
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,88%,"5,393",7,SY 2023-24,numerator,Numerator,5393
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,88%,"29,813",7,SY 2023-24,numerator,Numerator,29813
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,"All Students Econ Dis ML (1-4,9) SWD Numerator 63,837 14,583 4,204 5,993","91,006",7,SY 2023-24,denominator,Denominator,91006
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"5,462",7,SY 2023-24,denominator,Denominator,5462
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"17,278",7,SY 2023-24,denominator,Denominator,17278
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,70%,"8,978",7,SY 2023-24,denominator,Denominator,8978
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,53%,"24,772",7,SY 2023-24,denominator,Denominator,24772
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"6,029",7,SY 2023-24,denominator,Denominator,6029
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"33,568",7,SY 2023-24,denominator,Denominator,33568
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,"All Students Econ Dis ML (1-4,9) SWD Numerator 63,837 14,583 4,204 5,993",79%,7,SY 2024-25,percent,SY 2024-25,79
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,88%,92%,7,SY 2024-25,percent,SY 2024-25,92
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,88%,89%,7,SY 2024-25,percent,SY 2024-25,89
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,70%,73%,7,SY 2024-25,percent,SY 2024-25,73
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,53%,56%,7,SY 2024-25,percent,SY 2024-25,56
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,88%,90%,7,SY 2024-25,percent,SY 2024-25,90
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,88%,90%,7,SY 2024-25,percent,SY 2024-25,90
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,"All Students Econ Dis ML (1-4,9) SWD Numerator 63,837 14,583 4,204 5,993","72,834",7,SY 2024-25,numerator,Numerator,72834
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,88%,"5,548",7,SY 2024-25,numerator,Numerator,5548
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,88%,"15,485",7,SY 2024-25,numerator,Numerator,15485
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,70%,"6,555",7,SY 2024-25,numerator,Numerator,6555
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,53%,"14,439",7,SY 2024-25,numerator,Numerator,14439
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,88%,"5,582",7,SY 2024-25,numerator,Numerator,5582
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Numerator,88%,"30,505",7,SY 2024-25,numerator,Numerator,30505
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,"All Students Econ Dis ML (1-4,9) SWD Numerator 63,837 14,583 4,204 5,993","92,355",7,SY 2024-25,denominator,Denominator,92355
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"6,021",7,SY 2024-25,denominator,Denominator,6021
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"17,397",7,SY 2024-25,denominator,Denominator,17397
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,70%,"8,940",7,SY 2024-25,denominator,Denominator,8940
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,53%,"25,627",7,SY 2024-25,denominator,Denominator,25627
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"6,174",7,SY 2024-25,denominator,Denominator,6174
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Denominator,88%,"33,833",7,SY 2024-25,denominator,Denominator,33833
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,"All Students Econ Dis ML (1-4,9) SWD Numerator 63,837 14,583 4,204 5,993",82%,7,SY 2024-25,other,Target,82
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,88%,90%,7,SY 2024-25,other,Target,90
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,88%,90%,7,SY 2024-25,other,Target,90
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,70%,77%,7,SY 2024-25,other,Target,77
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,53%,65%,7,SY 2024-25,other,Target,65
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,88%,90%,7,SY 2024-25,other,Target,90
"SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,88%,90%,7,SY 2024-25,other,Target,90
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,All students,77%,8,Baseline,percent,Baseline,77
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,Econ Dis,54%,8,Baseline,percent,Baseline,54
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,ML,28%,8,Baseline,percent,Baseline,28
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,SWD,49%,8,Baseline,percent,Baseline,49
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,504 Plan,88%,8,Baseline,percent,Baseline,88
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,Asian,88%,8,Baseline,percent,Baseline,88
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,Black,70%,8,Baseline,percent,Baseline,70
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,Hispanic,53%,8,Baseline,percent,Baseline,53
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,Multiracial,88%,8,Baseline,percent,Baseline,88
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Baseline,White,88%,8,Baseline,percent,Baseline,88
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,All Students,Actual,8,SY 2023-24,percent,SY 2023-24,NA
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,All students,78%,8,SY 2023-24,percent,SY 2023-24,78
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,Econ Dis,56%,8,SY 2023-24,percent,SY 2023-24,56
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,ML,30%,8,SY 2023-24,percent,SY 2023-24,30
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,SWD,50%,8,SY 2023-24,percent,SY 2023-24,50
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,504 Plan,90%,8,SY 2023-24,percent,SY 2023-24,90
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,Asian,88%,8,SY 2023-24,percent,SY 2023-24,88
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,Black,72%,8,SY 2023-24,percent,SY 2023-24,72
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,Hispanic,55%,8,SY 2023-24,percent,SY 2023-24,55
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,Multiracial,89%,8,SY 2023-24,percent,SY 2023-24,89
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2023-24,White,89%,8,SY 2023-24,percent,SY 2023-24,89
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,All Students,Target,8,SY 2024-25,percent,SY 2024-25,NA
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,All students,82%,8,SY 2024-25,percent,SY 2024-25,82
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Econ Dis,66%,8,SY 2024-25,percent,SY 2024-25,66
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,ML,47%,8,SY 2024-25,percent,SY 2024-25,47
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,SWD,62%,8,SY 2024-25,percent,SY 2024-25,62
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,504 Plan,90%,8,SY 2024-25,percent,SY 2024-25,90
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Asian,90%,8,SY 2024-25,percent,SY 2024-25,90
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Black,77%,8,SY 2024-25,percent,SY 2024-25,77
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Hispanic,65%,8,SY 2024-25,percent,SY 2024-25,65
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Multiracial,90%,8,SY 2024-25,percent,SY 2024-25,90
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,White,90%,8,SY 2024-25,percent,SY 2024-25,90
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,All Students,Actual,8,SY 2024-25,percent,SY 2024-25,NA
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,All students,79%,8,SY 2024-25,percent,SY 2024-25,79
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Econ Dis,58%,8,SY 2024-25,percent,SY 2024-25,58
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,ML,30%,8,SY 2024-25,percent,SY 2024-25,30
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,SWD,52%,8,SY 2024-25,percent,SY 2024-25,52
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,504 Plan,92%,8,SY 2024-25,percent,SY 2024-25,92
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Asian,89%,8,SY 2024-25,percent,SY 2024-25,89
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Black,73%,8,SY 2024-25,percent,SY 2024-25,73
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Hispanic,56%,8,SY 2024-25,percent,SY 2024-25,56
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,Multiracial,90%,8,SY 2024-25,percent,SY 2024-25,90
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2024-25,White,90%,8,SY 2024-25,percent,SY 2024-25,90
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,All Students,Target,8,SY 2025-26,percent,SY 2025-26,NA
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,All students,85%,8,SY 2025-26,percent,SY 2025-26,85
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,Econ Dis,72%,8,SY 2025-26,percent,SY 2025-26,72
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,ML,57%,8,SY 2025-26,percent,SY 2025-26,57
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,SWD,69%,8,SY 2025-26,percent,SY 2025-26,69
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,504 Plan,91%,8,SY 2025-26,percent,SY 2025-26,91
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,Asian,91%,8,SY 2025-26,percent,SY 2025-26,91
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,Black,81%,8,SY 2025-26,percent,SY 2025-26,81
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,Hispanic,71%,8,SY 2025-26,percent,SY 2025-26,71
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,Multiracial,91%,8,SY 2025-26,percent,SY 2025-26,91
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",SY 2025-26,White,91%,8,SY 2025-26,percent,SY 2025-26,91
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,All Students,Annual,8,SY 2025-26,other,Target,NA
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,All students,2.57,8,SY 2025-26,other,Target,2.57
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,Econ Dis,5.86,8,SY 2025-26,other,Target,5.859999999999999
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,ML,9.57,8,SY 2025-26,other,Target,9.57
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,SWD,6.57,8,SY 2025-26,other,Target,6.57
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,504 Plan,1.00,8,SY 2025-26,other,Target,1
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,Asian,1.00,8,SY 2025-26,other,Target,1
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,Black,3.57,8,SY 2025-26,other,Target,3.57
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,Hispanic,6.00,8,SY 2025-26,other,Target,6
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,Multiracial,1.00,8,SY 2025-26,other,Target,1
"Growth Targets - SOL Annual Pass Rate for Reading (Grades 3-8, EOC)",Target,White,1.00,8,SY 2025-26,other,Target,1
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Denominator,"All Students Econ Dis ML (1-4) SWD 504 Plan Asian Black Numerator 7,222 1,304 133 303 410 2,058 560","14,025",18,NA,denominator,Denominator,14025
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Denominator,27%,"3,854",18,NA,denominator,Denominator,3854
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Denominator,61%,830,18,NA,denominator,Denominator,830
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Denominator,61%,"4,995",18,NA,denominator,Denominator,4995
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,SY 2023-24,"All Students Econ Dis ML (1-4) SWD 504 Plan Asian Black Numerator 7,222 1,304 133 303 410 2,058 560",59%,18,SY 2023-24,percent,SY 2023-24,59
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,SY 2023-24,27%,33%,18,SY 2023-24,percent,SY 2023-24,33
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,SY 2023-24,61%,72%,18,SY 2023-24,percent,SY 2023-24,72
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,SY 2023-24,61%,69%,18,SY 2023-24,percent,SY 2023-24,69
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Numerator,"All Students Econ Dis ML (1-4) SWD 504 Plan Asian Black Numerator 7,222 1,304 133 303 410 2,058 560","7,879",18,SY 2023-24,numerator,Numerator,7879
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Numerator,27%,"1,187",18,SY 2023-24,numerator,Numerator,1187
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Numerator,61%,627,18,SY 2023-24,numerator,Numerator,627
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Numerator,61%,"3,308",18,SY 2023-24,numerator,Numerator,3308
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Denominator,"All Students Econ Dis ML (1-4) SWD 504 Plan Asian Black Numerator 7,222 1,304 133 303 410 2,058 560","13,292",18,SY 2023-24,denominator,Denominator,13292
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Denominator,27%,"3,634",18,SY 2023-24,denominator,Denominator,3634
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Denominator,61%,869,18,SY 2023-24,denominator,Denominator,869
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Denominator,61%,"4,764",18,SY 2023-24,denominator,Denominator,4764
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,SY 2024-25,"All Students Econ Dis ML (1-4) SWD 504 Plan Asian Black Numerator 7,222 1,304 133 303 410 2,058 560",61%,18,SY 2024-25,percent,SY 2024-25,61
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,SY 2024-25,27%,35%,18,SY 2024-25,percent,SY 2024-25,35
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,SY 2024-25,61%,73%,18,SY 2024-25,percent,SY 2024-25,73
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,SY 2024-25,61%,71%,18,SY 2024-25,percent,SY 2024-25,71
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Numerator,"All Students Econ Dis ML (1-4) SWD 504 Plan Asian Black Numerator 7,222 1,304 133 303 410 2,058 560","8,565",18,SY 2024-25,numerator,Numerator,8565
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Numerator,27%,"1,382",18,SY 2024-25,numerator,Numerator,1382
Percent of Students who Receive a Verified Credit in Algebra 1 by the end of 8th Grade,Numerator,61%,673,18,SY 2024-25,numerator,Numerator,673
